Date (Daily +00:00: 01/01/2013 - 12/31/2013),Series,Value
2013-05-27,FOXNEWS,0.0869
2013-05-28,FOXNEWS,0.2229
2013-05-29,FOXNEWS,0.1699
2013-05-30,FOXNEWS,0.2834
2013-05-31,FOXNEWS,0.5448
2013-06-01,FOXNEWS,0.5223
2013-06-02,FOXNEWS,0.5026
2013-06-03,FOXNEWS,0.3167
2013-06-04,FOXNEWS,0.1913
2013-06-05,FOXNEWS,0.3545
2013-06-06,FOXNEWS,0.1207
2013-06-07,FOXNEWS,0.3778
2013-06-08,FOXNEWS,0.4746
2013-06-09,FOXNEWS,0.5198
2013-06-10,FOXNEWS,0.2671
2013-06-11,FOXNEWS,0.4322
2013-06-12,FOXNEWS,0.3352
2013-06-13,FOXNEWS,0.6534
2013-06-14,FOXNEWS,0.3101
2013-06-15,FOXNEWS,0.3524
2013-06-16,FOXNEWS,0.6415
2013-06-17,FOXNEWS,0.2688
2013-06-18,FOXNEWS,0.1196
2013-06-19,FOXNEWS,0.1936
2013-06-20,FOXNEWS,0.3383
2013-06-21,FOXNEWS,0.2407
2013-06-22,FOXNEWS,0.2583
2013-06-23,FOXNEWS,0.5283
2013-06-24,FOXNEWS,0.342
2013-06-25,FOXNEWS,0.3032
2013-06-26,FOXNEWS,0.1667
2013-06-27,FOXNEWS,0.3129
2013-06-28,FOXNEWS,0.9462
2013-06-29,FOXNEWS,0.4573
2013-06-30,FOXNEWS,0.8553
2013-07-01,FOXNEWS,0.2896
2013-07-02,FOXNEWS,0.185
2013-07-03,FOXNEWS,0.2339
2013-07-04,FOXNEWS,0.2113
2013-07-05,FOXNEWS,0.2827
2013-07-06,FOXNEWS,0.2705
2013-07-07,FOXNEWS,0.123
2013-07-08,FOXNEWS,0.1916
2013-07-09,FOXNEWS,0.7151
2013-07-10,FOXNEWS,0.2608
2013-07-11,FOXNEWS,0.2089
2013-07-12,FOXNEWS,0.1341
2013-07-13,FOXNEWS,0.2505
2013-07-14,FOXNEWS,0.4129
2013-07-15,FOXNEWS,0.6168
2013-07-16,FOXNEWS,0.4764
2013-07-17,FOXNEWS,0.3529
2013-07-18,FOXNEWS,0.3643
2013-07-19,FOXNEWS,0.0463
2013-07-20,FOXNEWS,0.3533
2013-07-21,FOXNEWS,0.7209
2013-07-22,FOXNEWS,0.4969
2013-07-23,FOXNEWS,0.3735
