Date (Daily +00:00: 01/01/2014 - 12/31/2014),Series,Value
2014-04-13,FOXNEWS,0.0245
2014-04-14,FOXNEWS,0
2014-04-15,FOXNEWS,0.0477
2014-04-16,FOXNEWS,0.0477
2014-04-17,FOXNEWS,0.1653
2014-04-18,FOXNEWS,0.0489
2014-04-19,FOXNEWS,0
2014-04-20,FOXNEWS,0.0589
2014-04-21,FOXNEWS,0
2014-04-22,FOXNEWS,0
2014-04-23,FOXNEWS,0.0467
2014-04-24,FOXNEWS,0.0234
2014-04-25,FOXNEWS,0
2014-04-26,FOXNEWS,0.1416
2014-04-27,FOXNEWS,0.0808
2014-04-28,FOXNEWS,0.544
2014-04-29,FOXNEWS,0.4796
2014-04-30,FOXNEWS,0.0237
2014-05-01,FOXNEWS,0
2014-05-02,FOXNEWS,0.046
2014-05-03,FOXNEWS,0.0471
2014-05-04,FOXNEWS,0.0979
2014-05-05,FOXNEWS,0.0927
2014-05-06,FOXNEWS,0.0236
2014-05-07,FOXNEWS,0
2014-05-08,FOXNEWS,0.0718
2014-05-09,FOXNEWS,0
2014-05-10,FOXNEWS,0.0479
2014-05-11,FOXNEWS,0.049
2014-05-12,FOXNEWS,0
2014-05-13,FOXNEWS,0.0913
2014-05-14,FOXNEWS,0.1381
2014-05-15,FOXNEWS,0.1143
2014-05-16,FOXNEWS,0.1854
2014-05-17,FOXNEWS,0.0469
2014-05-18,FOXNEWS,0
2014-05-19,FOXNEWS,0.0467
2014-05-20,FOXNEWS,0
2014-05-21,FOXNEWS,0.0484
2014-05-22,FOXNEWS,0.0241
2014-05-23,FOXNEWS,0.0242
2014-05-24,FOXNEWS,0.0542
2014-05-25,FOXNEWS,0.0271
2014-05-26,FOXNEWS,0.0275
2014-05-27,FOXNEWS,0.2176
2014-05-28,FOXNEWS,0.1435
2014-05-29,FOXNEWS,0.0475
2014-05-30,FOXNEWS,0.0237
2014-05-31,FOXNEWS,0.0486
2014-06-01,FOXNEWS,0
2014-06-02,FOXNEWS,0.0954
2014-06-03,FOXNEWS,0
2014-06-04,FOXNEWS,0.0238
2014-06-05,FOXNEWS,0.0239
2014-06-06,FOXNEWS,0.0712
2014-06-07,FOXNEWS,0.0266
2014-06-08,FOXNEWS,0
2014-06-09,FOXNEWS,0.0237
2014-06-10,FOXNEWS,0.07
2014-06-11,FOXNEWS,0
2014-06-12,FOXNEWS,0
2014-06-13,FOXNEWS,0.0489
2014-06-14,FOXNEWS,0
2014-06-15,FOXNEWS,0.0819
2014-06-16,FOXNEWS,0.0299
2014-06-17,FOXNEWS,0
2014-06-18,FOXNEWS,0.0925
2014-06-19,FOXNEWS,0.0691
2014-06-20,FOXNEWS,0
2014-06-21,FOXNEWS,0
2014-06-22,FOXNEWS,0.1064
2014-06-23,FOXNEWS,0.0477
2014-06-24,FOXNEWS,0.0234
2014-06-25,FOXNEWS,0
2014-06-26,FOXNEWS,0.1393
2014-06-27,FOXNEWS,0.1179
2014-06-28,FOXNEWS,0.0237
2014-06-29,FOXNEWS,0.1479
2014-06-30,FOXNEWS,0
2014-07-01,FOXNEWS,0
2014-07-02,FOXNEWS,0.0239
2014-07-03,FOXNEWS,0.0476
2014-07-04,FOXNEWS,0.1531
2014-07-05,FOXNEWS,0.0504
2014-07-06,FOXNEWS,0.1915
2014-07-07,FOXNEWS,0.1181
2014-07-08,FOXNEWS,0.0236
2014-07-09,FOXNEWS,0
2014-07-10,FOXNEWS,0.0235
2014-07-11,FOXNEWS,0.0474
2014-07-12,FOXNEWS,0.0242
2014-07-13,FOXNEWS,0.0245
