Date (Daily +00:00: 01/01/2012 - 12/31/2012),Series,Value
2012-07-07,FOXNEWS,0.368
2012-07-08,FOXNEWS,0.2177
2012-07-09,FOXNEWS,0.3619
2012-07-10,FOXNEWS,0.1423
2012-07-11,FOXNEWS,0.0711
2012-07-12,FOXNEWS,0.2863
2012-07-13,FOXNEWS,0.1215
2012-07-14,FOXNEWS,0.1221
2012-07-15,FOXNEWS,0.1761
2012-07-16,FOXNEWS,0.2894
2012-07-17,FOXNEWS,0.1894
2012-07-18,FOXNEWS,0.142
2012-07-19,FOXNEWS,0.3293
2012-07-20,FOXNEWS,0.0683
2012-07-21,FOXNEWS,0.1867
2012-07-22,FOXNEWS,0.3405
2012-07-23,FOXNEWS,0.1857
2012-07-24,FOXNEWS,0.0466
2012-07-25,FOXNEWS,0.1189
2012-07-26,FOXNEWS,0.4036
2012-07-27,FOXNEWS,0.2356
2012-07-28,FOXNEWS,0.3055
2012-07-29,FOXNEWS,0.1456
2012-07-30,FOXNEWS,0.0477
2012-07-31,FOXNEWS,0.2802
2012-08-01,FOXNEWS,0.3725
2012-08-02,FOXNEWS,0.2573
2012-08-03,FOXNEWS,0.1889
2012-08-04,FOXNEWS,0.2108
2012-08-05,FOXNEWS,0.2883
2012-08-06,FOXNEWS,0.4537
2012-08-07,FOXNEWS,0.1706
2012-08-08,FOXNEWS,0.5757
2012-08-09,FOXNEWS,0.0724
2012-08-10,FOXNEWS,0.3405
2012-08-11,FOXNEWS,0.0961
2012-08-12,FOXNEWS,0.1896
2012-08-13,FOXNEWS,0.1929
2012-08-14,FOXNEWS,0.215
2012-08-15,FOXNEWS,0.4057
2012-08-16,FOXNEWS,0.5769
2012-08-17,FOXNEWS,0.5266
2012-08-18,FOXNEWS,0.6247
2012-08-19,FOXNEWS,0.3578
2012-08-20,FOXNEWS,0.3277
2012-08-21,FOXNEWS,0.6487
2012-08-22,FOXNEWS,0.4377
2012-08-23,FOXNEWS,0.3831
2012-08-24,FOXNEWS,0.5234
2012-08-25,FOXNEWS,0.4748
2012-08-26,FOXNEWS,0.3592
2012-08-27,FOXNEWS,0.166
2012-08-28,FOXNEWS,0.0235
